home_id	num_of_sents_0.6	num_very_neg_0.6	num_neg_0.6	num_neut_0.6	num_pos_0.6	num_very_pos_0.6	num_sents
13068	7	0	4	1	1	1	144
19611	13	0	7	0	5	1	167
86185	6	1	1	0	3	1	199
132120	10	0	1	0	9	0	127
286712	29	1	10	0	17	1	244
442487	43	0	9	4	25	5	577
444221	30	0	12	0	16	2	303
458186	5	0	1	0	4	0	79
479653	22	0	3	1	16	2	344
486344	11	0	2	1	6	2	192
486829	14	0	1	1	11	1	275
573942	22	0	6	1	13	2	502
654734	15	1	5	0	8	1	241
670056	13	0	4	1	8	0	99
1145148	4	0	2	0	2	0	76
1416763	5	0	2	1	2	0	115
1432713	56	0	13	0	34	9	673
1483944	21	0	4	2	12	3	268
1521633	7	0	2	2	2	1	49
1783382	9	0	0	0	7	2	57
2016613	2	0	0	1	1	0	90
2039149	56	0	12	8	33	3	498
2134911	0	0	0	0	0	0	20
2418658	26	0	7	2	11	6	679
2520890	5	0	3	0	2	0	217
2898401	12	0	3	2	6	1	134
2966415	16	0	6	0	9	1	131
2986056	0	0	0	0	0	0	13
3040278	33	1	4	1	21	6	876
3124383	8	0	1	0	6	1	151
3250577	1	0	0	0	1	0	22
3386862	23	0	9	1	12	1	413
3689416	7	0	1	0	5	1	55
3803212	1	0	0	0	1	0	7
4061051	2	0	1	0	1	0	28
4111954	2	0	0	1	1	0	62
4138423	10	0	3	0	6	1	157
4231670	2	0	0	0	2	0	12
4242626	1	0	0	0	0	1	9
4258762	13	1	1	0	8	3	104
4388148	19	0	2	1	15	1	266
4825472	4	0	0	0	4	0	65
4854767	5	0	1	1	3	0	85
5123904	2	0	1	0	1	0	48
5297143	1	0	0	0	0	1	34
5310193	1	0	0	0	1	0	21
5660792	13	0	5	0	7	1	205
6226666	2	0	0	0	2	0	10
6249536	1	0	0	0	1	0	2
6412566	4	0	0	1	3	0	67
6557297	4	0	3	0	1	0	107
6629278	5	0	3	0	2	0	58
6655233	5	0	2	0	2	1	57
6716620	0	0	0	0	0	0	69
6780670	4	0	1	1	1	1	38
6882518	8	0	0	0	7	1	88
6994406	0	0	0	0	0	0	8
7149703	5	0	0	0	3	2	109
7349099	1	0	0	0	1	0	30
7430926	12	0	2	1	8	1	146
7596455	0	0	0	0	0	0	16
7809718	1	0	0	0	1	0	37
7821003	1	0	0	0	1	0	2
7828222	1	0	1	0	0	0	10
7843145	3	0	0	0	2	1	22
7934963	8	0	1	2	5	0	83
7952930	7	0	2	0	4	1	73
8053921	3	0	1	0	1	1	70
8155710	0	0	0	0	0	0	9
8221520	4	0	0	0	2	2	38
8409975	5	0	1	1	3	0	45
9016362	2	0	1	0	0	1	18
9034515	0	0	0	0	0	0	13
9389755	2	0	0	0	2	0	16
9863484	1	0	0	0	1	0	6
