home_id	num_of_sents_0.6	num_very_neg_0.6	num_neg_0.6	num_neut_0.6	num_pos_0.6	num_very_pos_0.6	num_sents
264829	27	0	7	5	15	0	216
278192	6	0	1	1	3	1	68
286712	37	1	15	3	16	2	244
385438	3	0	1	0	1	1	27
571640	4	0	1	2	1	0	35
571651	0	0	0	0	0	0	24
606297	57	0	28	6	22	1	497
609610	19	0	8	2	9	0	77
611500	19	0	6	6	6	1	150
666897	22	1	6	1	12	2	97
670021	8	0	5	1	2	0	74
693956	0	0	0	0	0	0	3
696004	47	0	23	6	17	1	369
716829	0	0	0	0	0	0	7
823989	33	0	12	4	17	0	234
877203	13	0	6	2	5	0	125
1179538	0	0	0	0	0	0	5
1246809	48	2	20	10	14	2	315
1340668	24	0	12	2	8	2	137
1461971	4	0	1	1	2	0	31
1484651	20	0	10	3	7	0	315
1499596	4	0	2	2	0	0	36
1566487	90	0	29	17	40	4	492
1571230	12	0	4	2	5	1	111
1652107	48	0	16	9	21	2	279
1672979	13	0	4	2	6	1	91
1815472	68	1	18	10	38	1	413
1905473	4	0	0	2	2	0	22
2016613	12	0	5	1	6	0	90
2056276	0	0	0	0	0	0	7
2134911	3	0	2	0	0	1	20
2508065	9	0	1	0	7	1	35
2520890	25	0	11	1	11	2	217
2586350	56	0	24	9	21	2	419
2586642	17	0	9	2	4	2	145
2610187	3	0	1	1	1	0	23
2800448	18	0	6	3	8	1	102
2980762	18	0	6	0	11	1	113
2986056	0	0	0	0	0	0	13
3291777	10	0	5	1	4	0	73
3303857	19	0	3	4	11	1	142
3316219	81	0	24	12	40	5	553
3329962	26	0	14	1	10	1	184
3449059	100	1	31	8	54	6	570
3533112	7	0	4	2	1	0	57
3544964	23	0	10	2	11	0	180
3630581	4	0	2	1	1	0	41
3726391	0	0	0	0	0	0	7
3849918	7	0	3	0	4	0	54
3859882	4	0	1	0	3	0	38
3904056	8	0	2	0	5	1	26
3939683	1	0	0	0	1	0	3
3951768	41	0	18	7	15	1	234
4105081	2	0	0	0	2	0	6
4130112	0	0	0	0	0	0	4
4144767	4	0	1	1	2	0	25
4163851	18	0	7	3	7	1	117
4340410	10	0	2	1	7	0	46
4395578	0	0	0	0	0	0	3
4395654	0	0	0	0	0	0	2
4589654	13	0	3	2	5	3	70
4708075	11	0	5	3	2	1	68
4825073	3	0	0	0	2	1	8
5021969	46	1	20	4	17	4	243
5126077	1	0	0	0	0	1	3
5219336	5	0	2	0	3	0	52
5252543	4	0	0	2	2	0	35
5340242	1	0	1	0	0	0	2
5365612	3	0	0	0	3	0	31
5376433	15	0	6	2	7	0	98
5407311	1	0	0	0	1	0	3
5424448	2	0	1	0	1	0	6
5471427	8	0	3	0	5	0	67
5744931	6	0	2	0	4	0	44
5931372	7	0	5	1	1	0	75
6133684	3	0	1	0	2	0	34
6226666	1	0	0	0	1	0	10
6249164	12	0	1	0	11	0	99
6291829	5	0	0	1	3	1	14
6325283	8	0	1	1	6	0	37
6411986	5	0	1	2	2	0	55
6416765	36	0	16	5	14	1	146
6425652	2	0	1	0	1	0	22
6545246	1	0	0	0	1	0	4
6714817	1	0	0	0	1	0	12
6864319	1	0	0	0	0	1	1
6907671	6	0	1	1	4	0	62
7007598	4	0	1	0	3	0	39
7013085	44	1	23	1	19	0	284
7027507	0	0	0	0	0	0	3
7048843	14	0	2	3	9	0	104
7095802	11	0	2	4	5	0	115
7203765	1	0	0	0	1	0	7
7205443	8	0	3	2	3	0	39
7219541	1	0	0	0	1	0	3
7388899	12	0	5	0	7	0	77
7420488	5	0	1	1	2	1	33
7429207	0	0	0	0	0	0	3
7431247	0	0	0	0	0	0	9
7500000	6	0	2	0	4	0	40
7697340	2	0	0	0	2	0	15
7902068	7	0	1	0	6	0	44
7922663	0	0	0	0	0	0	4
7934356	2	0	1	0	1	0	18
8168876	2	0	1	0	1	0	6
8342968	0	0	0	0	0	0	8
8525825	0	0	0	0	0	0	3
8799588	1	0	0	0	0	1	6
8848854	0	0	0	0	0	0	3
8921924	0	0	0	0	0	0	13
8934054	0	0	0	0	0	0	5
8952253	2	0	0	0	2	0	15
8988178	1	0	0	0	1	0	10
9075558	4	0	4	0	0	0	38
9134196	0	0	0	0	0	0	1
9151374	1	0	0	0	1	0	12
9170870	2	0	0	0	2	0	8
9186256	1	0	0	0	0	1	4
9199982	5	0	2	0	3	0	24
9238818	1	0	0	0	1	0	8
9300972	1	0	0	0	1	0	4
9449062	3	0	0	2	1	0	6
9473312	1	0	0	0	1	0	6
9507115	1	0	0	1	0	0	8
9519968	1	0	0	0	0	1	26
9532861	1	0	0	0	1	0	3
9564093	6	0	2	2	1	1	18
9736940	0	0	0	0	0	0	7
