	home_id	last_scraped	price	number_of_reviews	scores_overall	scores_accuracy	scores_cleanliness	scores_checkin	scores_communication	scores_location	scores_value	reviews_per_month
2899	7073650	2016-01-04	81	9	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.54
2900	9727857	2016-01-04	25	3	100.0	10.0	10.0	10.0	10.0	10.0	10.0	3.0
2901	446276	2016-01-04	195	30	99.0	10.0	10.0	10.0	10.0	10.0	9.0	0.69
2902	208670	2016-01-04	169	78	91.0	9.0	9.0	9.0	9.0	10.0	9.0	1.65
2903	8868833	2016-01-04	95	4	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.82
2907	7975026	2016-01-04	120	1	80.0	10.0	6.0	10.0	10.0	10.0	10.0	0.22
2908	6278216	2016-01-04	175	9	84.0	9.0	8.0	9.0	9.0	9.0	8.0	1.15
2909	6425652	2016-01-04	200	5	84.0	9.0	8.0	10.0	9.0	8.0	8.0	0.87
2912	8251213	2016-01-04	129	12	100.0	10.0	10.0	10.0	10.0	10.0	10.0	3.4
2913	5548982	2016-01-04	59	73	91.0	9.0	9.0	10.0	9.0	10.0	9.0	7.66
2915	3272374	2016-01-04	75	20	89.0	10.0	8.0	10.0	10.0	10.0	9.0	1.06
2916	7335567	2016-01-04	71	16	93.0	10.0	10.0	10.0	10.0	10.0	9.0	3.14
2918	7875887	2016-01-04	90	8	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.79
2919	3394837	2016-01-04	140	7	97.0	9.0	9.0	9.0	10.0	9.0	10.0	0.9
2920	4464795	2016-01-04	95	6	100.0	9.0	10.0	10.0	10.0	10.0	9.0	0.51
2921	6927016	2016-01-04	100	50	94.0	10.0	10.0	10.0	10.0	10.0	9.0	8.38
2922	699596	2016-01-04	150	136	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.41
2923	6387576	2016-01-04	89	38	97.0	10.0	10.0	10.0	10.0	10.0	10.0	4.91
2925	1198884	2016-01-04	150	63	93.0	9.0	9.0	9.0	9.0	10.0	9.0	2.0
2926	9546508	2016-01-04	69	1	80.0	8.0	10.0	10.0	10.0	10.0	10.0	0.81
2927	2386589	2016-01-04	125	46	95.0	9.0	9.0	10.0	10.0	10.0	9.0	2.05
2928	9924107	2016-01-04	110	2	100.0	9.0	10.0	10.0	10.0	10.0	9.0	2.0
2929	3386862	2016-01-04	152	77	91.0	9.0	9.0	10.0	10.0	10.0	9.0	4.44
2931	1520533	2016-01-04	49	10	90.0	8.0	7.0	9.0	9.0	10.0	8.0	0.36
2932	9651755	2016-01-04	68	2	100.0	10.0	10.0	9.0	10.0	10.0	10.0	2.0
2933	82763	2016-01-04	100	12	92.0	9.0	8.0	9.0	10.0	10.0	8.0	0.3
2935	1762354	2016-01-04	120	24	96.0	10.0	10.0	10.0	10.0	10.0	9.0	0.89
2936	2836237	2016-01-04	110	12	92.0	10.0	9.0	9.0	9.0	10.0	9.0	1.05
2938	8741711	2016-01-04	105	4	100.0	9.0	10.0	10.0	9.0	10.0	10.0	1.54
2939	3819831	2016-01-04	82	5	92.0	9.0	9.0	9.0	9.0	9.0	9.0	0.31
2941	7087957	2016-01-04	126	29	98.0	10.0	10.0	10.0	10.0	10.0	10.0	5.12
2942	1520549	2016-01-04	65	4	80.0	10.0	8.0	10.0	10.0	10.0	9.0	0.16
2944	9414303	2016-01-04	85	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.81
2945	26116	2016-01-04	199	110	97.0	10.0	10.0	10.0	10.0	10.0	9.0	1.71
2947	6452801	2016-01-04	159	18	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.47
2948	8340841	2016-01-04	125	8	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.53
2950	8046691	2016-01-04	110	2	90.0	9.0	9.0	10.0	10.0	10.0	10.0	0.57
2953	387079	2016-01-04	119	41	94.0	10.0	10.0	10.0	10.0	10.0	9.0	0.99
2956	5563136	2016-01-04	100	10	94.0	10.0	9.0	9.0	9.0	10.0	9.0	0.99
2957	6079216	2016-01-04	150	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.29
2958	8955477	2016-01-04	115	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.92
2959	6424859	2016-01-04	139	24	100.0	10.0	10.0	10.0	10.0	10.0	10.0	3.2
2960	7651702	2016-01-04	100	7	86.0	10.0	10.0	10.0	10.0	9.0	8.0	1.39
2961	6210952	2016-01-04	300	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.29
2962	9281758	2016-01-04	98	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.0
2963	2875975	2016-01-04	200	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.23
2965	4318709	2016-01-04	60	14	92.0	9.0	9.0	10.0	10.0	10.0	10.0	1.49
2966	6939106	2016-01-04	144	45	98.0	10.0	10.0	10.0	10.0	10.0	9.0	6.96
2967	2727938	2016-01-04	110	15	97.0	10.0	9.0	10.0	10.0	10.0	9.0	0.72
2968	7695195	2016-01-04	90	3	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.65
2969	6445741	2016-01-04	189	2	100.0	10.0	10.0	10.0	8.0	10.0	10.0	0.37
2970	7381005	2016-01-04	99	2	100.0	9.0	10.0	10.0	10.0	10.0	9.0	0.5
2972	4023177	2016-01-04	119	33	96.0	10.0	9.0	10.0	10.0	10.0	9.0	4.52
2973	1589681	2016-01-04	80	9	98.0	10.0	10.0	10.0	10.0	10.0	10.0	2.73
2974	8524349	2016-01-04	105	4	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.22
2975	9429399	2016-01-04	98	2	90.0	10.0	10.0	10.0	10.0	10.0	10.0	1.71
2976	7089415	2016-01-04	99	3	100.0	10.0	9.0	10.0	10.0	10.0	10.0	0.49
2977	8033438	2016-01-04	49	18	92.0	10.0	9.0	10.0	9.0	10.0	10.0	4.82
2978	6836330	2016-01-04	90	6	93.0	10.0	9.0	10.0	10.0	9.0	10.0	0.99
2979	975179	2016-01-04	55	168	95.0	10.0	10.0	10.0	10.0	9.0	9.0	4.93
2980	1956094	2016-01-04	85	82	94.0	10.0	10.0	10.0	10.0	10.0	9.0	3.35
2984	5457260	2016-01-04	69	10	100.0	10.0	9.0	10.0	10.0	10.0	10.0	1.06
2985	8594406	2016-01-04	75	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.32
2987	7714585	2016-01-04	55	10	96.0	10.0	10.0	10.0	9.0	9.0	10.0	2.36
2988	218741	2016-01-04	90	115	95.0	10.0	10.0	10.0	10.0	10.0	10.0	2.66
2989	8551871	2016-01-04	49	4	95.0	10.0	10.0	10.0	10.0	10.0	10.0	2.73
2990	8567933	2016-01-04	115	9	98.0	10.0	10.0	10.0	10.0	10.0	10.0	3.1
2991	7934963	2016-01-04	49	18	91.0	9.0	9.0	10.0	10.0	10.0	9.0	5.63
2992	6481764	2016-01-04	220	12	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.9
