	home_id	last_scraped	price	number_of_reviews	scores_overall	scores_accuracy	scores_cleanliness	scores_checkin	scores_communication	scores_location	scores_value	reviews_per_month
0	241032	2016-01-04	85	207	95.0	10.0	10.0	10.0	10.0	9.0	10.0	4.07
1	953595	2016-01-04	150	43	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.48
2	3308979	2016-01-04	975	20	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.15
4	278830	2016-01-04	450	38	92.0	9.0	9.0	10.0	10.0	9.0	9.0	0.89
5	5956968	2016-01-04	120	17	95.0	10.0	10.0	10.0	10.0	10.0	10.0	2.45
6	1909058	2016-01-04	80	58	99.0	10.0	10.0	10.0	10.0	10.0	10.0	2.46
7	856550	2016-01-04	60	173	97.0	10.0	10.0	10.0	10.0	9.0	10.0	4.73
8	4948745	2016-01-04	90	8	97.0	10.0	9.0	10.0	9.0	10.0	10.0	1.22
9	2493658	2016-01-04	150	32	97.0	10.0	10.0	10.0	10.0	10.0	9.0	1.55
10	175576	2016-01-04	95	181	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.33
11	4454295	2016-01-04	99	8	97.0	10.0	10.0	9.0	10.0	10.0	9.0	0.98
12	3883392	2016-01-04	245	13	98.0	10.0	10.0	10.0	10.0	10.0	10.0	0.92
13	8889257	2016-01-04	165	3	100.0	10.0	10.0	9.0	9.0	10.0	10.0	3.0
14	5680462	2016-01-04	461	18	98.0	9.0	10.0	10.0	10.0	10.0	10.0	2.65
15	8988178	2016-01-04	109	1	80.0	8.0	10.0	8.0	8.0	8.0	8.0	0.73
16	3245876	2016-01-04	66	84	95.0	10.0	9.0	10.0	10.0	10.0	9.0	4.55
17	4933447	2016-01-04	99	45	98.0	10.0	10.0	10.0	10.0	10.0	10.0	4.58
19	6291829	2016-01-04	700	5	85.0	10.0	9.0	9.0	9.0	8.0	8.0	0.82
20	9218403	2016-01-04	110	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0
21	4125779	2016-01-04	99	11	84.0	9.0	9.0	9.0	9.0	10.0	8.0	0.71
22	8942678	2016-01-04	450	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.86
24	6362362	2016-01-04	600	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.18
25	3544550	2016-01-04	450	8	100.0	10.0	10.0	9.0	10.0	10.0	10.0	1.3
27	3200646	2016-01-04	45	80	95.0	10.0	10.0	10.0	10.0	9.0	9.0	4.38
28	8859380	2016-01-04	300	6	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.47
29	4520099	2016-01-04	80	4	85.0	8.0	9.0	7.0	10.0	9.0	9.0	0.33
30	2481869	2016-01-04	175	38	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.86
31	1110749	2016-01-04	325	68	92.0	9.0	9.0	10.0	9.0	10.0	9.0	2.18
32	5978498	2016-01-04	175	8	88.0	9.0	9.0	9.0	9.0	10.0	9.0	1.31
33	5021081	2016-01-04	222	5	75.0	8.0	9.0	8.0	9.0	9.0	8.0	0.99
34	1686930	2016-01-04	159	62	97.0	10.0	10.0	10.0	10.0	10.0	9.0	2.27
35	7680289	2016-01-04	125	19	95.0	10.0	10.0	10.0	10.0	10.0	10.0	4.35
36	7207641	2016-01-04	348	5	96.0	10.0	10.0	10.0	10.0	10.0	9.0	0.97
37	5062445	2016-01-04	45	7	97.0	9.0	8.0	10.0	10.0	10.0	10.0	0.9
38	8925878	2016-01-04	150	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.83
39	6389657	2016-01-04	80	11	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.98
40	4218733	2016-01-04	110	71	90.0	10.0	8.0	10.0	10.0	10.0	9.0	4.7
41	2715623	2016-01-04	148	9	91.0	9.0	10.0	9.0	9.0	10.0	10.0	0.46
42	1392332	2016-01-04	350	41	98.0	10.0	10.0	10.0	10.0	10.0	9.0	1.38
43	7308567	2016-01-04	150	18	98.0	10.0	10.0	10.0	10.0	10.0	10.0	3.35
44	6575380	2016-01-04	150	9	100.0	10.0	10.0	9.0	9.0	10.0	10.0	1.99
45	6004058	2016-01-04	100	20	92.0	9.0	9.0	9.0	9.0	9.0	9.0	2.29
47	8515408	2016-01-04	110	3	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.06
48	5383192	2016-01-04	160	1	100.0	8.0	10.0	10.0	10.0	10.0	10.0	0.16
49	1112092	2016-01-04	130	26	95.0	10.0	10.0	9.0	10.0	10.0	9.0	0.8
50	7772661	2016-01-04	99	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.0
52	7714294	2016-01-04	137	3	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.64
55	6361863	2016-01-04	145	44	94.0	10.0	10.0	10.0	10.0	10.0	9.0	5.64
56	8105221	2016-01-04	80	10	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.5
57	3269390	2016-01-04	95	77	98.0	10.0	10.0	10.0	10.0	10.0	10.0	4.12
59	9282409	2016-01-04	85	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.3
60	8095168	2016-01-04	70	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.25
61	2746782	2016-01-04	90	109	97.0	10.0	10.0	10.0	10.0	9.0	10.0	5.24
62	6424982	2016-01-04	80	52	92.0	9.0	9.0	10.0	10.0	10.0	9.0	7.06
63	762029	2016-01-04	60	191	97.0	10.0	10.0	10.0	10.0	9.0	10.0	4.96
65	7077910	2016-01-04	170	9	91.0	9.0	9.0	10.0	10.0	10.0	9.0	1.82
66	3772674	2016-01-04	85	65	98.0	10.0	10.0	10.0	10.0	10.0	10.0	3.94
67	7021906	2016-01-04	465	5	96.0	10.0	10.0	10.0	10.0	10.0	9.0	1.38
68	7618605	2016-01-04	175	5	96.0	10.0	10.0	10.0	10.0	10.0	9.0	1.01
71	7680439	2016-01-04	59	16	93.0	9.0	10.0	10.0	10.0	10.0	10.0	3.29
72	4258515	2016-01-04	47	23	77.0	8.0	8.0	9.0	9.0	9.0	8.0	3.07
73	1148517	2016-01-04	145	45	97.0	9.0	9.0	10.0	10.0	10.0	9.0	1.44
74	2487892	2016-01-04	70	75	94.0	10.0	9.0	10.0	10.0	10.0	10.0	3.46
75	3038772	2016-01-04	55	86	94.0	9.0	10.0	10.0	10.0	10.0	10.0	4.43
76	699460	2016-01-04	95	151	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.85
77	4085439	2016-01-04	125	6	92.0	10.0	10.0	10.0	10.0	10.0	8.0	0.38
78	8053990	2016-01-04	65	16	94.0	10.0	10.0	10.0	10.0	10.0	10.0	3.75
81	2686374	2016-01-04	149	165	95.0	9.0	10.0	10.0	10.0	10.0	9.0	7.84
82	1956274	2016-01-04	125	48	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.11
84	5919096	2016-01-04	129	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.26
86	3294243	2016-01-04	150	27	93.0	10.0	10.0	10.0	10.0	10.0	9.0	1.48
89	1266459	2016-01-04	150	9	98.0	10.0	10.0	10.0	10.0	9.0	9.0	0.3
92	4118282	2016-01-04	80	88	95.0	10.0	10.0	10.0	10.0	9.0	9.0	6.07
93	6813483	2016-01-04	126	10	98.0	9.0	10.0	10.0	10.0	10.0	9.0	1.75
94	6590264	2016-01-04	115	5	96.0	10.0	10.0	10.0	10.0	9.0	10.0	0.82
95	2650482	2016-01-04	225	10	98.0	10.0	10.0	10.0	10.0	10.0	9.0	0.64
96	20927	2016-01-04	89	244	97.0	10.0	9.0	10.0	10.0	10.0	10.0	3.64
97	4395578	2016-01-04	225	1	100.0	10.0	10.0	10.0	10.0	8.0	10.0	0.11
99	5549211	2016-01-04	134	40	98.0	10.0	10.0	10.0	10.0	10.0	10.0	4.05
100	8240758	2016-01-04	75	2	80.0	9.0	10.0	10.0	10.0	10.0	9.0	0.62
101	6856295	2016-01-04	65	46	97.0	10.0	10.0	10.0	10.0	10.0	10.0	6.87
102	6881188	2016-01-04	375	23	96.0	10.0	10.0	10.0	10.0	10.0	9.0	3.75
103	1579615	2016-01-04	97	44	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.55
104	3766866	2016-01-04	145	14	97.0	10.0	10.0	10.0	10.0	10.0	9.0	0.82
105	2406966	2016-01-04	129	12	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.77
106	4872699	2016-01-04	197	1	100.0	8.0	10.0	10.0	10.0	10.0	8.0	0.09
107	5470629	2016-01-04	120	25	99.0	10.0	10.0	10.0	10.0	10.0	10.0	3.39
108	2950213	2016-01-04	200	35	95.0	10.0	9.0	10.0	10.0	10.0	9.0	1.84
109	9015088	2016-01-04	135	5	100.0	10.0	10.0	10.0	10.0	10.0	10.0	3.95
110	3979496	2016-01-04	70	31	95.0	10.0	10.0	10.0	10.0	10.0	10.0	1.89
111	7501919	2016-01-04	150	7	97.0	8.0	10.0	10.0	10.0	10.0	9.0	1.37
112	4732995	2016-01-04	200	4	95.0	10.0	9.0	10.0	10.0	10.0	10.0	0.83
113	7134759	2016-01-04	60	16	98.0	10.0	10.0	10.0	10.0	10.0	10.0	3.87
114	4532538	2016-01-04	180	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0
115	7534398	2016-01-04	69	8	100.0	10.0	10.0	10.0	10.0	10.0	10.0	3.38
116	9387189	2016-01-04	90	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0
117	6337492	2016-01-04	80	5	92.0	9.0	8.0	9.0	10.0	10.0	10.0	0.65
119	1609922	2016-01-04	150	26	94.0	10.0	9.0	10.0	10.0	10.0	9.0	0.96
120	4236723	2016-01-04	195	113	94.0	9.0	9.0	10.0	10.0	10.0	9.0	7.53
122	3076065	2016-01-04	224	15	96.0	10.0	10.0	9.0	10.0	10.0	9.0	1.22
123	6423204	2016-01-04	115	44	91.0	9.0	9.0	10.0	10.0	9.0	9.0	5.87
124	8338849	2016-01-04	55	7	94.0	10.0	10.0	10.0	10.0	10.0	10.0	1.91
125	6401209	2016-01-04	338	13	97.0	10.0	10.0	10.0	10.0	10.0	10.0	2.05
126	20928	2016-01-04	79	44	97.0	10.0	10.0	10.0	10.0	10.0	10.0	6.23
127	3344977	2016-01-04	80	56	96.0	10.0	10.0	10.0	10.0	10.0	10.0	3.11
128	7604621	2016-01-04	85	11	95.0	10.0	10.0	9.0	10.0	10.0	9.0	3.55
129	3303978	2016-01-04	80	39	98.0	10.0	10.0	10.0	10.0	10.0	10.0	2.22
130	7067082	2016-01-04	49	10	90.0	9.0	9.0	10.0	10.0	10.0	9.0	1.68
131	3121829	2016-01-04	100	6	90.0	10.0	10.0	9.0	9.0	10.0	9.0	0.34
132	2539881	2016-01-04	79	4	85.0	8.0	8.0	10.0	10.0	10.0	10.0	0.2
133	3678718	2016-01-04	75	79	96.0	10.0	10.0	10.0	10.0	10.0	10.0	4.67
134	4694479	2016-01-04	57	50	96.0	10.0	10.0	10.0	10.0	10.0	10.0	5.32
135	6646843	2016-01-04	99	28	89.0	10.0	9.0	10.0	10.0	10.0	9.0	5.79
136	1364440	2016-01-04	55	20	100.0	10.0	10.0	10.0	10.0	9.0	10.0	0.68
137	1781873	2016-01-04	96	57	92.0	10.0	9.0	10.0	10.0	9.0	9.0	2.56
138	4138423	2016-01-04	99	38	94.0	10.0	9.0	10.0	10.0	9.0	9.0	2.61
139	5562674	2016-01-04	79	71	95.0	10.0	10.0	10.0	10.0	10.0	9.0	7.2
140	1789341	2016-01-04	115	17	99.0	10.0	10.0	10.0	10.0	10.0	10.0	0.82
141	4672934	2016-01-04	350	13	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.06
142	4550099	2016-01-04	295	3	93.0	9.0	7.0	9.0	10.0	9.0	8.0	0.22
143	1198799	2016-01-04	70	19	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.84
144	5308429	2016-01-04	53	18	99.0	10.0	10.0	10.0	10.0	10.0	10.0	1.65
145	2769088	2016-01-04	110	12	71.0	8.0	6.0	9.0	9.0	9.0	7.0	0.61
146	7603135	2016-01-04	225	4	95.0	10.0	10.0	9.0	10.0	10.0	10.0	0.85
147	9374365	2016-01-04	35	7	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.96
148	6106498	2016-01-04	55	23	97.0	10.0	10.0	10.0	10.0	9.0	10.0	2.82
149	9331449	2016-01-04	45	2	90.0	10.0	8.0	10.0	10.0	10.0	9.0	2.0
151	4317390	2016-01-04	133	39	95.0	10.0	10.0	9.0	10.0	10.0	9.0	2.87
152	3884851	2016-01-04	65	64	96.0	10.0	10.0	10.0	10.0	10.0	10.0	3.86
153	3155785	2016-01-04	61	4	80.0	10.0	8.0	9.0	9.0	9.0	9.0	0.82
155	5643240	2016-01-04	70	8	90.0	10.0	9.0	10.0	10.0	10.0	10.0	1.21
156	5042014	2016-01-04	52	14	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.25
157	7724630	2016-01-04	50	1	100.0	8.0	8.0	10.0	10.0	10.0	8.0	0.3
159	3053237	2016-01-04	149	85	99.0	10.0	10.0	10.0	10.0	9.0	10.0	4.28
161	63733	2016-01-04	89	125	97.0	10.0	10.0	10.0	10.0	10.0	10.0	2.18
162	2039149	2016-01-04	225	121	91.0	9.0	9.0	10.0	10.0	9.0	9.0	5.15
163	227636	2016-01-04	120	131	97.0	10.0	10.0	10.0	10.0	9.0	10.0	2.59
164	3689119	2016-01-04	85	49	98.0	10.0	10.0	10.0	10.0	10.0	10.0	2.85
165	1179538	2016-01-04	80	2	100.0	10.0	10.0	10.0	10.0	8.0	8.0	1.3
166	6823781	2016-01-04	89	28	95.0	10.0	10.0	10.0	10.0	10.0	10.0	4.29
167	2284536	2016-01-04	99	111	92.0	9.0	9.0	10.0	10.0	10.0	9.0	4.89
168	5143441	2016-01-04	110	49	97.0	10.0	10.0	10.0	10.0	10.0	10.0	4.51
169	5749958	2016-01-04	180	28	96.0	10.0	10.0	10.0	10.0	10.0	10.0	3.4
171	7731836	2016-01-04	70	3	100.0	10.0	10.0	10.0	10.0	9.0	9.0	3.0
173	1407502	2016-01-04	75	9	89.0	8.0	9.0	9.0	9.0	9.0	9.0	0.47
174	8817038	2016-01-04	85	12	97.0	10.0	10.0	10.0	10.0	10.0	10.0	5.22
175	4449303	2016-01-04	80	50	95.0	10.0	10.0	10.0	10.0	10.0	9.0	5.02
176	8255615	2016-01-04	90	3	100.0	10.0	10.0	9.0	10.0	10.0	10.0	0.85
177	4053092	2016-01-04	80	24	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.58
178	6886633	2016-01-04	75	81	95.0	10.0	10.0	10.0	10.0	9.0	10.0	12.15
180	3052151	2016-01-04	70	19	85.0	8.0	7.0	9.0	9.0	9.0	8.0	0.98
181	2339333	2016-01-04	350	6	100.0	10.0	10.0	10.0	10.0	9.0	9.0	0.95
182	1618842	2016-01-04	95	115	99.0	10.0	10.0	10.0	10.0	10.0	10.0	4.79
183	888967	2016-01-04	90	72	99.0	10.0	10.0	10.0	10.0	10.0	10.0	2.14
184	380950	2016-01-04	435	12	84.0	8.0	9.0	10.0	10.0	9.0	8.0	0.28
185	8097708	2016-01-04	250	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.25
186	5671843	2016-01-04	65	31	95.0	10.0	9.0	10.0	10.0	10.0	10.0	3.31
187	904057	2016-01-04	95	125	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.57
188	7161725	2016-01-04	110	7	97.0	9.0	10.0	10.0	10.0	10.0	10.0	1.24
189	9587410	2016-01-04	50	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.0
191	2238105	2016-01-04	100	62	97.0	10.0	10.0	10.0	10.0	10.0	9.0	2.7
193	2441908	2016-01-04	116	74	98.0	10.0	10.0	10.0	10.0	10.0	10.0	3.3
194	9367465	2016-01-04	150	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.86
195	3031415	2016-01-04	275	107	95.0	10.0	9.0	10.0	10.0	10.0	9.0	5.63
196	843812	2016-01-04	180	10	96.0	10.0	10.0	10.0	10.0	9.0	10.0	0.29
197	3835995	2016-01-04	97	155	96.0	10.0	10.0	10.0	10.0	10.0	10.0	9.14
199	3768745	2016-01-04	120	15	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.27
200	3975434	2016-01-04	109	17	96.0	10.0	10.0	10.0	10.0	10.0	9.0	1.04
201	5620928	2016-01-04	115	13	92.0	9.0	9.0	10.0	10.0	9.0	9.0	1.86
202	7381677	2016-01-04	199	13	97.0	10.0	10.0	10.0	10.0	10.0	10.0	2.52
203	5487934	2016-01-04	150	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.26
205	757840	2016-01-04	250	98	98.0	10.0	10.0	10.0	10.0	10.0	10.0	2.56
206	8848403	2016-01-04	39	2	100.0	10.0	10.0	10.0	10.0	9.0	10.0	2.0
207	7430926	2016-01-04	69	28	90.0	10.0	9.0	9.0	10.0	9.0	9.0	5.92
208	7021544	2016-01-04	145	17	91.0	10.0	9.0	10.0	10.0	9.0	9.0	3.15
209	1323446	2016-01-04	98	139	97.0	10.0	10.0	10.0	9.0	10.0	10.0	4.59
210	3925573	2016-01-04	130	5	100.0	10.0	10.0	10.0	10.0	10.0	9.0	0.32
211	8723086	2016-01-04	85	15	96.0	10.0	9.0	10.0	10.0	9.0	10.0	5.0
214	3401644	2016-01-04	150	5	88.0	10.0	9.0	9.0	10.0	10.0	10.0	0.31
216	5310193	2016-01-04	190	3	93.0	9.0	9.0	10.0	9.0	10.0	10.0	0.6
217	5308875	2016-01-04	68	17	94.0	10.0	10.0	10.0	10.0	10.0	9.0	2.88
218	5052459	2016-01-04	149	31	96.0	10.0	10.0	10.0	10.0	10.0	9.0	3.08
219	7228499	2016-01-04	349	34	92.0	9.0	9.0	10.0	10.0	10.0	9.0	7.18
220	7651653	2016-01-04	105	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.54
221	1494986	2016-01-04	145	10	100.0	10.0	10.0	10.0	10.0	9.0	10.0	0.35
222	1783382	2016-01-04	150	15	98.0	10.0	9.0	10.0	10.0	9.0	9.0	0.61
223	7513198	2016-01-04	275	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.21
224	8308316	2016-01-04	165	7	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.98
225	9694921	2016-01-04	196	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0
226	2472850	2016-01-04	195	28	82.0	9.0	8.0	9.0	9.0	9.0	8.0	1.41
227	5487522	2016-01-04	200	7	89.0	9.0	9.0	9.0	9.0	9.0	9.0	0.73
228	4016650	2016-01-04	90	36	97.0	10.0	10.0	10.0	10.0	9.0	10.0	3.48
230	3479241	2016-01-04	125	16	92.0	10.0	9.0	9.0	10.0	10.0	9.0	0.92
231	5848400	2016-01-04	250	4	90.0	9.0	10.0	10.0	10.0	10.0	9.0	0.5
232	6077760	2016-01-04	130	23	98.0	10.0	10.0	10.0	10.0	10.0	10.0	2.92
233	4642956	2016-01-04	209	1	100.0	10.0	10.0	10.0	10.0	10.0	8.0	0.1
234	1167507	2016-01-04	110	61	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.93
235	6044106	2016-01-04	90	50	96.0	10.0	10.0	10.0	10.0	9.0	10.0	5.91
236	1799255	2016-01-04	90	55	97.0	10.0	9.0	10.0	10.0	10.0	10.0	2.29
237	8941768	2016-01-04	130	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.59
238	6569950	2016-01-04	175	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.2
239	7733192	2016-01-04	749	12	100.0	10.0	10.0	10.0	10.0	10.0	9.0	2.67
241	5175631	2016-01-04	165	26	98.0	10.0	10.0	10.0	10.0	10.0	10.0	2.57
243	9134193	2016-01-04	80	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0
244	2481189	2016-01-04	285	53	96.0	10.0	10.0	10.0	10.0	9.0	10.0	2.41
245	8535897	2016-01-04	80	13	100.0	10.0	10.0	10.0	10.0	10.0	10.0	3.82
247	3144311	2016-01-04	68	4	95.0	10.0	9.0	10.0	10.0	10.0	9.0	0.63
249	6781308	2016-01-04	125	32	97.0	10.0	10.0	10.0	10.0	9.0	10.0	4.68
250	160222	2016-01-04	110	53	93.0	9.0	9.0	10.0	10.0	10.0	9.0	0.98
251	4250367	2016-01-04	600	8	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.53
252	8755479	2016-01-04	235	2	100.0	10.0	10.0	9.0	10.0	10.0	9.0	0.71
253	8829156	2016-01-04	75	7	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.66
254	5126077	2016-01-04	95	1	80.0	10.0	10.0	10.0	10.0	8.0	6.0	0.34
255	6108796	2016-01-04	103	49	95.0	10.0	10.0	10.0	10.0	9.0	9.0	5.81
256	2692126	2016-01-04	120	59	98.0	10.0	10.0	10.0	10.0	9.0	10.0	3.45
259	3544953	2016-01-04	99	18	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.02
260	2020505	2016-01-04	142	63	99.0	10.0	10.0	10.0	10.0	10.0	10.0	2.76
261	5580457	2016-01-04	150	16	93.0	10.0	10.0	9.0	10.0	9.0	9.0	1.7
262	1495271	2016-01-04	295	4	95.0	9.0	10.0	10.0	10.0	10.0	9.0	0.14
263	8455865	2016-01-04	335	3	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.07
265	6065566	2016-01-04	250	2	100.0	10.0	9.0	10.0	10.0	10.0	10.0	0.37
266	4645208	2016-01-04	499	14	99.0	10.0	10.0	10.0	10.0	10.0	10.0	1.57
267	6115807	2016-01-04	350	9	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.53
268	7091397	2016-01-04	156	11	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.98
269	6134153	2016-01-04	200	11	91.0	9.0	9.0	10.0	10.0	10.0	9.0	1.67
270	7763878	2016-01-04	180	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.24
271	8088447	2016-01-04	103	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.53
272	3418349	2016-01-04	99	115	94.0	10.0	9.0	10.0	10.0	10.0	9.0	6.39
273	9199982	2016-01-04	94	6	87.0	9.0	9.0	9.0	10.0	8.0	9.0	4.19
274	6400000	2016-01-04	160	10	92.0	10.0	10.0	10.0	10.0	10.0	9.0	1.46
275	6776229	2016-01-04	129	21	96.0	10.0	10.0	10.0	10.0	9.0	10.0	4.88
276	7627794	2016-01-04	219	5	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.01
277	8374102	2016-01-04	91	5	92.0	9.0	9.0	10.0	10.0	9.0	9.0	1.42
278	6316934	2016-01-04	75	53	95.0	10.0	10.0	10.0	10.0	9.0	10.0	6.82
279	1820794	2016-01-04	99	106	99.0	10.0	10.0	10.0	10.0	10.0	10.0	4.37
280	314180	2016-01-04	300	24	100.0	10.0	9.0	10.0	10.0	10.0	10.0	0.51
282	4868135	2016-01-04	149	11	96.0	9.0	10.0	9.0	9.0	10.0	9.0	0.89
284	1427103	2016-01-04	95	79	95.0	10.0	10.0	10.0	10.0	10.0	9.0	2.78
285	3518808	2016-01-04	100	52	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.18
286	8995844	2016-01-04	250	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.81
287	356566	2016-01-04	105	13	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.28
288	6466388	2016-01-04	74	20	87.0	8.0	9.0	9.0	9.0	10.0	8.0	2.86
289	4531944	2016-01-04	140	30	99.0	10.0	10.0	10.0	10.0	10.0	10.0	2.29
290	6686072	2016-01-04	130	14	97.0	9.0	10.0	10.0	10.0	10.0	9.0	2.3
291	4384343	2016-01-04	110	27	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.88
292	7900056	2016-01-04	199	5	84.0	10.0	8.0	9.0	8.0	9.0	9.0	1.42
293	6378563	2016-01-04	209	5	96.0	10.0	10.0	10.0	10.0	10.0	10.0	0.67
294	5630783	2016-01-04	100	28	97.0	10.0	10.0	10.0	10.0	10.0	10.0	2.92
295	340706	2016-01-04	110	97	96.0	10.0	10.0	10.0	10.0	10.0	10.0	2.09
296	6202214	2016-01-04	104	15	96.0	10.0	10.0	10.0	10.0	10.0	10.0	1.97
297	1030411	2016-01-04	200	3	100.0	10.0	10.0	9.0	10.0	10.0	10.0	0.16
298	7922373	2016-01-04	99	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.81
299	6156470	2016-01-04	90	43	97.0	10.0	10.0	10.0	10.0	10.0	10.0	5.71
300	2994309	2016-01-04	135	71	97.0	10.0	10.0	10.0	10.0	9.0	10.0	3.6
301	1594328	2016-01-04	122	9	96.0	10.0	10.0	10.0	10.0	10.0	10.0	0.32
302	8072920	2016-01-04	80	3	93.0	10.0	10.0	10.0	10.0	10.0	10.0	0.87
303	6915487	2016-01-04	158	1	80.0	6.0	10.0	4.0	6.0	10.0	8.0	0.25
304	6202603	2016-01-04	90	11	92.0	9.0	9.0	10.0	10.0	10.0	9.0	1.39
305	5286781	2016-01-04	100	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.53
306	2818420	2016-01-04	89	4	95.0	10.0	10.0	10.0	10.0	10.0	10.0	0.23
307	3739681	2016-01-04	125	12	93.0	10.0	9.0	10.0	10.0	10.0	9.0	0.69
308	7922063	2016-01-04	42	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.22
309	611509	2016-01-04	65	61	97.0	10.0	9.0	10.0	10.0	10.0	10.0	1.49
310	1802663	2016-01-04	100	49	94.0	10.0	10.0	10.0	10.0	10.0	9.0	1.83
313	9294832	2016-01-04	40	4	95.0	10.0	10.0	10.0	10.0	10.0	10.0	3.16
314	8643209	2016-01-04	70	4	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.35
317	132120	2016-01-04	110	35	94.0	10.0	9.0	10.0	10.0	10.0	10.0	0.63
318	6343866	2016-01-04	99	10	96.0	10.0	10.0	10.0	10.0	10.0	9.0	1.46
319	3066740	2016-01-04	680	6	100.0	10.0	10.0	10.0	10.0	10.0	9.0	0.89
320	4130112	2016-01-04	195	2	100.0	10.0	8.0	10.0	10.0	8.0	10.0	0.13
321	4026757	2016-01-04	55	86	97.0	10.0	10.0	10.0	10.0	10.0	10.0	5.38
323	3294804	2016-01-04	119	17	92.0	9.0	10.0	10.0	10.0	10.0	9.0	0.9
324	4122325	2016-01-04	175	26	99.0	10.0	10.0	10.0	10.0	10.0	10.0	1.79
325	8308353	2016-01-04	65	7	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.86
326	7226013	2016-01-04	75	11	93.0	10.0	9.0	10.0	10.0	9.0	9.0	1.85
327	5761290	2016-01-04	126	12	95.0	10.0	10.0	9.0	10.0	9.0	10.0	1.82
328	182716	2016-01-04	70	63	99.0	10.0	10.0	10.0	10.0	10.0	10.0	1.17
329	3050140	2016-01-04	90	54	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.75
330	3254956	2016-01-04	129	28	87.0	9.0	9.0	10.0	9.0	10.0	9.0	1.53
331	1264287	2016-01-04	225	29	92.0	9.0	9.0	10.0	9.0	9.0	9.0	0.94
332	3404557	2016-01-04	40	6	93.0	9.0	9.0	10.0	10.0	10.0	9.0	0.33
333	3939683	2016-01-04	50	1	100.0	8.0	8.0	8.0	8.0	8.0	10.0	0.28
334	3424242	2016-01-04	40	7	94.0	9.0	7.0	9.0	10.0	10.0	10.0	0.39
335	7985714	2016-01-04	40	1	80.0	8.0	6.0	10.0	8.0	10.0	10.0	0.29
